age,annual_income,spending_score,online_purchase_frequency,store_visits_per_month
53.0,92088.0,71.0,4,3
18.0,90041.0,68.0,10,4
42.0,88123.0,87.0,12,4
18.0,78677.0,83.0,6,4
27.0,86635.0,73.0,8,8
51.0,87258.0,73.0,6,4
43.0,83582.0,89.0,12,2
30.0,88710.0,70.0,4,6
30.0,93232.0,93.0,12,6
36.0,105089.0,73.0,4,9
40.0,91397.0,85.0,13,8
48.0,92060.0,77.0,4,4
30.0,89404.0,85.0,12,5
19.0,74650.0,76.0,3,8
37.0,89788.0,79.0,8,4
30.0,90482.0,80.0,10,1
22.0,109706.0,72.0,10,3
38.0,88461.0,86.0,11,6
33.0,92412.0,76.0,6,4
38.0,89722.0,78.0,7,6
26.0,80651.0,72.0,8,9
40.0,99143.0,60.0,6,6
22.0,96015.0,78.0,6,7
27.0,96328.0,99.0,11,7
33.0,82725.0,86.0,9,6
52.0,101222.0,80.0,9,9
43.0,78785.0,78.0,5,8
46.0,94695.0,80.0,6,4
49.0,107524.0,84.0,7,5
70.0,82076.0,71.0,11,4
35.0,85470.0,89.0,6,6
49.0,90797.0,86.0,6,5
45.0,85972.0,86.0,12,5
45.0,77595.0,84.0,3,7
53.0,90549.0,80.0,7,6
31.0,81502.0,85.0,7,8
30.0,93789.0,85.0,8,7
38.0,82645.0,77.0,7,7
33.0,102399.0,75.0,7,6
38.0,83734.0,81.0,5,6
51.0,87424.0,92.0,8,5
30.0,96508.0,70.0,8,3
32.0,80153.0,68.0,8,7
37.0,91820.0,81.0,7,4
33.0,100457.0,80.0,6,4
18.0,77140.0,81.0,9,2
29.0,91477.0,82.0,6,7
42.0,92079.0,78.0,8,6
49.0,96255.0,92.0,11,5
23.0,80104.0,67.0,7,3
23.0,79436.0,73.0,10,2
35.0,94176.0,79.0,12,9
18.0,92376.0,67.0,8,9
31.0,92004.0,79.0,12,3
18.0,92772.0,93.0,12,4
49.0,84560.0,80.0,11,6
27.0,91858.0,82.0,9,6
52.0,92345.0,70.0,8,4
46.0,84285.0,75.0,6,7
29.0,104926.0,77.0,3,5
24.0,93791.0,77.0,3,3
33.0,80470.0,90.0,6,4
34.0,95252.0,84.0,2,5
38.0,82203.0,71.0,3,3
27.0,96297.0,82.0,14,6
42.0,99269.0,84.0,7,5
38.0,83435.0,89.0,9,5
32.0,97707.0,93.0,7,9
28.0,93302.0,72.0,6,3
33.0,96576.0,74.0,11,4
27.0,105174.0,70.0,4,4
36.0,88037.0,78.0,8,7
36.0,83970.0,84.0,5,6
38.0,82884.0,88.0,12,3
53.0,83474.0,79.0,9,4
34.0,89383.0,77.0,1,6
45.0,92729.0,81.0,6,4
37.0,92214.0,73.0,12,6
33.0,96617.0,97.0,8,6
34.0,90104.0,67.0,10,6
34.0,101628.0,81.0,9,4
38.0,87883.0,96.0,12,13
25.0,111761.0,80.0,12,7
20.0,95005.0,78.0,10,6
42.0,83143.0,77.0,5,9
44.0,81433.0,79.0,7,4
42.0,93860.0,91.0,11,5
37.0,88212.0,62.0,7,6
43.0,95712.0,92.0,11,2
42.0,93786.0,69.0,7,8
43.0,89417.0,78.0,7,5
26.0,83226.0,77.0,7,9
24.0,77881.0,85.0,8,4
31.0,86428.0,67.0,10,7
35.0,96851.0,84.0,2,5
33.0,91713.0,96.0,7,6
18.0,80034.0,69.0,9,8
52.0,91385.0,82.0,6,8
32.0,93083.0,75.0,9,9
37.0,82929.0,83.0,5,2
47.0,91230.0,80.0,7,7
18.0,90466.0,75.0,5,1
30.0,80856.0,84.0,7,3
31.0,92862.0,94.0,8,2
32.0,94486.0,78.0,11,5
33.0,98664.0,86.0,8,4
49.0,98430.0,70.0,8,4
42.0,78979.0,72.0,4,1
45.0,82497.0,84.0,9,6
35.0,94120.0,92.0,6,7
21.0,94110.0,83.0,9,3
18.0,94120.0,77.0,10,4
20.0,120822.0,80.0,6,5
39.0,94567.0,70.0,4,8
35.0,99085.0,85.0,8,0
33.0,97632.0,87.0,4,2
31.0,95211.0,76.0,14,5
55.0,87478.0,76.0,6,7
27.0,96072.0,82.0,7,2
44.0,83817.0,77.0,3,8
35.0,88105.0,79.0,7,4
34.0,86117.0,97.0,10,6
47.0,90655.0,78.0,9,4
50.0,108517.0,77.0,7,7
33.0,75062.0,75.0,8,2
43.0,95490.0,86.0,7,5
39.0,77098.0,79.0,3,2
35.0,86225.0,75.0,3,3
37.0,98712.0,91.0,12,6
28.0,90514.0,91.0,4,6
32.0,81378.0,75.0,10,5
29.0,84278.0,65.0,3,6
44.0,95437.0,88.0,9,7
34.0,84157.0,75.0,12,7
22.0,91732.0,86.0,7,3
28.0,90365.0,64.0,7,5
18.0,84787.0,87.0,7,3
30.0,107152.0,70.0,17,6
35.0,95071.0,86.0,6,3
34.0,73799.0,80.0,6,4
55.0,91492.0,72.0,11,5
41.0,84706.0,77.0,6,4
40.0,96819.0,85.0,8,4
19.0,83660.0,81.0,10,6
31.0,89082.0,85.0,11,4
30.0,94040.0,96.0,7,2
27.0,96926.0,67.0,10,7
27.0,80398.0,93.0,7,4
18.0,87324.0,81.0,4,8
22.0,86200.0,73.0,9,5
44.0,84773.0,69.0,11,5
34.0,104124.0,78.0,9,5
30.0,93240.0,87.0,9,6
35.0,79913.0,79.0,4,10
47.0,97343.0,92.0,2,7
35.0,106977.0,68.0,9,3
40.0,98260.0,80.0,12,4
27.0,77845.0,70.0,9,10
29.0,86126.0,83.0,6,3
39.0,100135.0,87.0,8,1
54.0,84339.0,77.0,9,5
49.0,93551.0,59.0,7,6
41.0,96197.0,82.0,14,5
37.0,82585.0,83.0,6,3
49.0,89524.0,83.0,15,6
43.0,64070.0,90.0,10,1
18.0,81805.0,71.0,10,4
24.0,87979.0,85.0,9,1
38.0,80018.0,90.0,7,3
18.0,103059.0,66.0,11,5
26.0,78559.0,83.0,7,6
28.0,86480.0,76.0,12,3
32.0,91046.0,79.0,13,8
32.0,101530.0,83.0,3,3
32.0,78513.0,76.0,7,1
43.0,99305.0,75.0,10,4
32.0,90082.0,80.0,7,3
31.0,82148.0,71.0,7,3
22.0,93697.0,71.0,16,3
45.0,91592.0,85.0,8,6
28.0,85198.0,71.0,9,3
24.0,90558.0,85.0,9,9
37.0,86917.0,84.0,13,5
27.0,90908.0,66.0,8,6
30.0,95297.0,75.0,4,3
38.0,102688.0,90.0,7,8
32.0,80097.0,72.0,9,6
58.0,107064.0,76.0,8,5
34.0,74383.0,84.0,6,6
41.0,88786.0,86.0,3,4
18.0,94707.0,78.0,9,7
26.0,92248.0,75.0,6,8
24.0,85018.0,91.0,6,7
25.0,88335.0,94.0,8,5
39.0,86056.0,88.0,2,4
45.0,85285.0,81.0,7,9
38.0,96797.0,74.0,3,9
33.0,92856.0,73.0,8,5
29.0,84457.0,84.0,5,5
46.0,97197.0,83.0,7,7
56.0,92458.0,91.0,9,6
36.0,96503.0,85.0,9,4
44.0,95037.0,68.0,12,4
38.0,83368.0,88.0,8,3
43.0,85519.0,72.0,5,7
23.0,95978.0,77.0,11,2
30.0,94883.0,82.0,7,8
39.0,89833.0,96.0,5,5
47.0,90939.0,105.0,10,9
27.0,100221.0,85.0,6,2
18.0,85267.0,79.0,3,4
30.0,94377.0,84.0,7,4
45.0,88382.0,87.0,14,3
19.0,88259.0,77.0,7,5
23.0,98790.0,94.0,10,6
37.0,96603.0,82.0,3,5
34.0,96508.0,84.0,9,6
41.0,100444.0,85.0,4,10
23.0,90168.0,83.0,8,6
32.0,95456.0,87.0,6,8
47.0,87518.0,75.0,3,5
23.0,92593.0,76.0,6,3
50.0,88959.0,71.0,10,4
24.0,90776.0,84.0,8,4
43.0,94761.0,86.0,9,6
31.0,83454.0,84.0,8,6
24.0,106739.0,93.0,9,3
30.0,81952.0,80.0,9,4
40.0,80286.0,85.0,10,3
35.0,99265.0,71.0,3,6
46.0,96333.0,77.0,9,5
49.0,94993.0,86.0,8,10
23.0,95027.0,87.0,10,2
22.0,89902.0,78.0,9,5
22.0,82822.0,79.0,10,4
26.0,90606.0,68.0,5,5
46.0,84583.0,77.0,7,5
41.0,97801.0,87.0,8,9
30.0,88824.0,85.0,4,8
35.0,83396.0,84.0,11,5
49.0,87429.0,80.0,3,3
54.0,93303.0,80.0,15,10
38.0,85490.0,75.0,9,3
18.0,83422.0,86.0,6,1
38.0,91949.0,83.0,13,4
44.0,91960.0,84.0,13,6
37.0,85944.0,76.0,7,6
42.0,86232.0,63.0,8,4
39.0,91856.0,89.0,5,6
23.0,78415.0,76.0,5,5
26.0,78740.0,73.0,13,2
32.0,84252.0,86.0,7,4
46.0,88292.0,77.0,9,3
27.0,92487.0,88.0,6,5
40.0,101803.0,85.0,8,8
38.0,96861.0,85.0,6,4
51.0,88720.0,69.0,13,5
35.0,89848.0,90.0,6,6
18.0,81980.0,82.0,7,6
41.0,89852.0,77.0,10,6
56.0,87691.0,81.0,6,5
42.0,92582.0,66.0,9,8
27.0,83382.0,83.0,9,5
24.0,94155.0,72.0,4,5
25.0,102262.0,69.0,4,6
55.0,89130.0,68.0,10,2
32.0,93214.0,89.0,12,4
28.0,95521.0,75.0,13,3
33.0,86790.0,92.0,8,10
32.0,91793.0,76.0,12,4
51.0,90101.0,66.0,9,4
25.0,90781.0,71.0,6,5
47.0,83816.0,90.0,9,5
36.0,90196.0,79.0,5,3
47.0,93984.0,76.0,12,4
51.0,101609.0,81.0,9,4
36.0,97674.0,84.0,14,6
32.0,107225.0,89.0,9,6
36.0,83861.0,92.0,5,1
34.0,96979.0,77.0,6,4
18.0,91467.0,69.0,5,1
51.0,107518.0,77.0,4,1
37.0,83534.0,82.0,5,4
23.0,83282.0,72.0,6,4
18.0,85205.0,72.0,11,4
18.0,73009.0,83.0,6,9
43.0,85794.0,80.0,5,4
29.0,83927.0,80.0,9,5
30.0,91203.0,74.0,6,8
40.0,92734.0,78.0,9,10
30.0,105009.0,73.0,15,6
40.0,97603.0,87.0,8,6
36.0,85385.0,88.0,5,6
34.0,82813.0,65.0,7,6
19.0,93935.0,73.0,10,6
27.0,79438.0,68.0,9,4
41.0,104652.0,75.0,10,6
28.0,99436.0,79.0,7,4
47.0,86247.0,68.0,9,5
58.0,76295.0,73.0,8,0
42.0,100831.0,72.0,10,4
50.0,89084.0,82.0,14,7
42.0,99903.0,81.0,4,5
30.0,77245.0,74.0,9,6
37.0,85205.0,81.0,11,4
55.0,90042.0,76.0,10,5
30.0,90376.0,78.0,7,3
25.0,86399.0,93.0,6,6
24.0,94983.0,91.0,7,5
33.0,81459.0,70.0,9,5
25.0,88861.0,87.0,8,4
52.0,90962.0,86.0,12,4
37.0,94116.0,71.0,9,7
45.0,95693.0,87.0,7,7
32.0,81003.0,92.0,6,9
24.0,77727.0,71.0,9,2
22.0,100221.0,73.0,9,6
26.0,92659.0,88.0,8,4
38.0,84012.0,82.0,4,5
40.0,102409.0,84.0,4,4
41.0,90925.0,83.0,6,5
20.0,99434.0,83.0,8,4
35.0,90540.0,69.0,3,7
25.0,106486.0,88.0,5,0
39.0,104043.0,89.0,8,7
40.0,88008.0,78.0,6,1
23.0,97773.0,80.0,7,7
45.0,95163.0,68.0,6,2
58.0,100949.0,84.0,8,1
43.0,82281.0,85.0,8,3
33.0,95488.0,80.0,10,3
32.0,98467.0,89.0,9,0
33.0,75930.0,77.0,16,6
27.0,80534.0,85.0,10,4
38.0,73686.0,72.0,6,5
24.0,87845.0,80.0,8,4
18.0,95740.0,79.0,5,6
37.0,102019.0,82.0,9,1
35.0,90593.0,77.0,10,9
29.0,103029.0,79.0,11,3
22.0,78959.0,87.0,7,4
38.0,76373.0,77.0,4,3
25.0,89556.0,67.0,5,3
34.0,93073.0,94.0,6,5
53.0,89738.0,91.0,14,6
42.0,73460.0,70.0,10,7
21.0,89287.0,86.0,8,1
22.0,79564.0,76.0,9,3
37.0,95357.0,82.0,7,5
21.0,92933.0,82.0,14,7
18.0,82481.0,78.0,9,6
40.0,85889.0,74.0,5,3
38.0,81526.0,74.0,9,4
40.0,89499.0,73.0,6,6
38.0,97641.0,73.0,8,7
34.0,82114.0,79.0,9,8
28.0,94032.0,74.0,9,9
40.0,85758.0,85.0,6,5
50.0,83657.0,92.0,5,4
30.0,89144.0,75.0,20,3
25.0,81718.0,82.0,4,3
24.0,85571.0,84.0,6,2
26.0,80417.0,84.0,8,2
37.0,105718.0,81.0,3,9
18.0,90282.0,86.0,6,3
39.0,84402.0,84.0,8,2
41.0,91712.0,70.0,8,6
18.0,89101.0,87.0,5,2
25.0,88232.0,87.0,9,9
36.0,94913.0,74.0,5,6
34.0,96060.0,80.0,8,4
40.0,85756.0,85.0,4,7
34.0,85393.0,78.0,9,5
48.0,87800.0,89.0,8,12
32.0,71585.0,99.0,9,8
25.0,77878.0,74.0,8,7
24.0,100935.0,69.0,9,5
42.0,103160.0,82.0,9,10
35.0,88008.0,86.0,14,5
41.0,94612.0,78.0,11,2
41.0,92490.0,92.0,10,4
18.0,114631.0,69.0,7,7
24.0,98957.0,86.0,11,5
25.0,88977.0,75.0,8,7
27.0,82356.0,94.0,8,2
31.0,77148.0,96.0,8,5
45.0,91628.0,74.0,6,5
47.0,83949.0,76.0,11,6
32.0,78622.0,87.0,6,5
32.0,84827.0,77.0,8,3
28.0,81348.0,80.0,9,6
36.0,103497.0,80.0,6,5
37.0,97053.0,65.0,6,5
43.0,89936.0,80.0,10,5
43.0,101840.0,74.0,11,3
18.0,90619.0,76.0,9,6
33.0,83110.0,92.0,10,4
49.0,102185.0,70.0,4,5
31.0,94311.0,87.0,5,3
46.0,81702.0,78.0,7,6
32.0,88477.0,78.0,9,4
37.0,82995.0,86.0,8,4
24.0,78938.0,83.0,5,3
24.0,97409.0,85.0,11,5
42.0,105275.0,88.0,7,6
44.0,78811.0,77.0,6,6
35.0,94504.0,75.0,6,6
23.0,84795.0,71.0,11,3
35.0,86103.0,73.0,9,4
48.0,85261.0,104.0,9,6
52.0,83088.0,90.0,13,5
32.0,90388.0,69.0,4,10
18.0,83352.0,69.0,11,7
43.0,92164.0,84.0,15,4
32.0,89598.0,84.0,13,5
44.0,88088.0,84.0,11,6
38.0,82739.0,78.0,9,6
26.0,85386.0,79.0,4,3
36.0,96043.0,83.0,11,2
48.0,94007.0,81.0,10,7
34.0,82180.0,62.0,5,5
25.0,90795.0,78.0,9,7
19.0,96011.0,73.0,7,5
27.0,76645.0,81.0,8,7
31.0,94347.0,104.0,4,6
43.0,84699.0,83.0,5,6
24.0,94565.0,77.0,7,3
51.0,83894.0,87.0,9,3
22.0,75561.0,84.0,9,5
58.0,76980.0,83.0,4,6
52.0,90385.0,85.0,7,4
36.0,92078.0,96.0,6,4
19.0,82765.0,71.0,12,5
34.0,95109.0,84.0,9,7
31.0,76708.0,73.0,10,4
22.0,89471.0,84.0,10,3
38.0,80312.0,73.0,9,3
27.0,84785.0,77.0,8,5
28.0,90379.0,78.0,10,7
33.0,83117.0,88.0,7,5
29.0,86924.0,87.0,10,5
56.0,98050.0,70.0,11,4
30.0,85385.0,80.0,9,4
39.0,96686.0,74.0,13,8
36.0,80962.0,70.0,5,5
39.0,94238.0,78.0,6,8
39.0,101533.0,78.0,8,4
44.0,70227.0,99.0,7,7
38.0,83625.0,83.0,10,3
37.0,94617.0,69.0,3,6
36.0,88376.0,75.0,6,9
34.0,92969.0,88.0,6,9
26.0,85168.0,97.0,10,2
34.0,90693.0,67.0,10,3
37.0,88755.0,65.0,9,9
39.0,99342.0,95.0,4,2
37.0,92035.0,83.0,9,3
33.0,92701.0,73.0,5,8
34.0,86705.0,84.0,9,6
29.0,86099.0,59.0,3,4
38.0,86540.0,80.0,15,7
33.0,93156.0,83.0,2,3
37.0,86632.0,87.0,5,7
45.0,92318.0,72.0,9,0
28.0,106603.0,81.0,7,5
41.0,96969.0,73.0,7,4
35.0,87392.0,82.0,8,7
55.0,99610.0,73.0,4,7
33.0,86735.0,77.0,9,5
42.0,73695.0,72.0,10,1
35.0,81935.0,85.0,6,3
21.0,75034.0,87.0,8,5
30.0,87188.0,78.0,10,4
44.0,90147.0,80.0,9,6
31.0,103411.0,68.0,7,2
18.0,92615.0,78.0,9,7
35.0,88247.0,80.0,8,7
24.0,96635.0,101.0,11,6
36.0,72311.0,71.0,12,3
51.0,91885.0,92.0,7,6
43.0,96167.0,88.0,10,4
50.0,78171.0,82.0,9,6
29.0,99150.0,94.0,9,4
34.0,92708.0,83.0,7,5
25.0,86678.0,83.0,4,6
28.0,95062.0,80.0,10,4
26.0,108166.0,90.0,5,8
22.0,91455.0,89.0,9,4
49.0,91986.0,75.0,7,7
18.0,86325.0,69.0,11,3
49.0,83201.0,78.0,12,4
47.0,96643.0,74.0,8,4
40.0,83151.0,79.0,7,7
24.0,90573.0,90.0,5,5
19.0,86179.0,76.0,8,8
30.0,93832.0,80.0,7,6
41.0,92669.0,80.0,10,6
35.0,98300.0,87.0,3,2
25.0,85920.0,62.0,7,5
46.0,87841.0,75.0,9,5
52.0,82170.0,82.0,11,8
33.0,86446.0,90.0,4,4
36.0,93018.0,76.0,3,7
20.0,96056.0,65.0,7,4
31.0,82623.0,85.0,9,4
40.0,96957.0,75.0,12,8
39.0,100845.0,70.0,9,6
30.0,93307.0,75.0,16,5
32.0,105014.0,79.0,7,4
31.0,83810.0,75.0,10,3
32.0,80043.0,62.0,8,2
39.0,75770.0,87.0,7,7
18.0,101968.0,90.0,10,7
34.0,95235.0,85.0,7,1
38.0,89555.0,71.0,9,5
29.0,92240.0,78.0,7,5
30.0,80996.0,80.0,8,6
30.0,109566.0,85.0,9,4
30.0,91034.0,85.0,9,3
35.0,90875.0,74.0,4,3
36.0,95806.0,81.0,5,9
18.0,93848.0,84.0,9,3
42.0,91791.0,92.0,8,3
32.0,83676.0,86.0,9,7
54.0,93772.0,86.0,3,5
23.0,105056.0,81.0,5,8
26.0,100763.0,91.0,8,5
33.0,102745.0,83.0,4,9
39.0,85910.0,73.0,5,5
18.0,82083.0,91.0,4,6
27.0,88994.0,86.0,13,11
41.0,90446.0,76.0,9,5
26.0,98754.0,76.0,9,9
49.0,76460.0,82.0,5,3
30.0,102236.0,84.0,7,4
26.0,88736.0,82.0,5,13
41.0,86585.0,82.0,14,11
51.0,81903.0,94.0,8,2
39.0,76761.0,89.0,8,5
48.0,96585.0,82.0,6,2
52.0,90587.0,88.0,6,9
26.0,79680.0,72.0,7,5
44.0,79639.0,83.0,9,4
20.0,87314.0,94.0,2,8
39.0,103352.0,78.0,12,3
34.0,87923.0,73.0,8,4
47.0,77975.0,75.0,6,2
47.0,88034.0,71.0,9,6
41.0,87818.0,74.0,14,3
38.0,68425.0,77.0,5,6
40.0,89566.0,69.0,3,4
36.0,88153.0,80.0,5,5
34.0,95570.0,87.0,12,3
49.0,104792.0,73.0,7,5
51.0,99013.0,92.0,3,5
34.0,87849.0,84.0,11,4
37.0,81148.0,88.0,6,4
36.0,110587.0,75.0,9,7
19.0,90474.0,87.0,4,5
32.0,90111.0,71.0,6,5
51.0,89807.0,87.0,7,3
28.0,91585.0,81.0,10,7
56.0,88845.0,84.0,6,2
47.0,85411.0,71.0,6,4
39.0,85625.0,73.0,8,5
41.0,89738.0,85.0,9,4
26.0,85653.0,72.0,7,2
32.0,84297.0,84.0,7,4
49.0,90851.0,69.0,15,6
29.0,87960.0,87.0,12,4
46.0,102032.0,70.0,4,7
21.0,68792.0,84.0,8,3
23.0,98732.0,85.0,8,2
54.0,99969.0,74.0,8,2
35.0,73413.0,85.0,7,5
30.0,87258.0,82.0,4,5
49.0,87028.0,76.0,8,6
47.0,78740.0,72.0,7,6
44.0,83777.0,64.0,6,5
29.0,81115.0,83.0,7,2
32.0,104018.0,67.0,8,7
38.0,97485.0,81.0,6,2
42.0,100172.0,78.0,10,9
30.0,95773.0,85.0,10,3
37.0,80968.0,78.0,9,6
38.0,85804.0,77.0,12,4
48.0,93915.0,86.0,8,2
43.0,80223.0,83.0,11,3
20.0,95704.0,83.0,9,5
33.0,88077.0,84.0,8,3
26.0,87001.0,68.0,12,5
41.0,95688.0,86.0,8,7
44.0,93554.0,85.0,7,3
36.0,87112.0,72.0,3,1
32.0,99275.0,78.0,6,8
36.0,81351.0,80.0,9,9
37.0,94927.0,79.0,9,7
29.0,94745.0,83.0,10,5
23.0,87524.0,91.0,13,5
18.0,92609.0,89.0,7,2
48.0,79991.0,70.0,4,9
40.0,97392.0,85.0,12,7
39.0,88521.0,91.0,6,10
48.0,85818.0,83.0,7,3
22.0,98392.0,89.0,5,2
18.0,84365.0,96.0,6,4
39.0,78732.0,88.0,9,10
38.0,77547.0,82.0,5,9
18.0,94848.0,88.0,7,5
39.0,79757.0,81.0,10,5
31.0,104038.0,80.0,6,8
27.0,73345.0,77.0,6,1
32.0,103572.0,93.0,6,4
18.0,91688.0,73.0,7,3
29.0,89226.0,92.0,13,8
28.0,85641.0,84.0,6,7
41.0,93193.0,69.0,8,9
33.0,89699.0,83.0,8,5
41.0,98826.0,63.0,8,7
18.0,90914.0,85.0,7,3
27.0,91202.0,87.0,12,3
41.0,87091.0,75.0,5,4
32.0,89544.0,81.0,3,6
43.0,92462.0,96.0,9,4
18.0,76319.0,76.0,12,1
42.0,79215.0,72.0,10,5
29.0,95946.0,92.0,8,6
28.0,91367.0,96.0,6,5
45.0,88528.0,80.0,7,7
47.0,90147.0,88.0,6,7
45.0,92781.0,91.0,12,5
55.0,85682.0,74.0,3,9
48.0,83774.0,76.0,10,2
27.0,91567.0,90.0,7,7
36.0,82173.0,93.0,8,10
31.0,93266.0,85.0,9,1
55.0,76379.0,73.0,9,5
46.0,98233.0,96.0,8,5
33.0,93781.0,76.0,8,1
44.0,92048.0,77.0,7,7
23.0,97862.0,83.0,6,3
38.0,103324.0,92.0,9,4
26.0,98115.0,87.0,6,9
18.0,75273.0,83.0,10,5
43.0,79763.0,84.0,8,5
44.0,85001.0,80.0,13,1
40.0,90209.0,84.0,8,3
33.0,94141.0,60.0,7,9
22.0,84194.0,78.0,10,1
23.0,91494.0,82.0,8,6
25.0,83957.0,71.0,17,5
33.0,85108.0,83.0,7,4
46.0,78747.0,78.0,7,8
46.0,82614.0,94.0,8,6
19.0,79187.0,93.0,8,9
28.0,82193.0,76.0,9,2
28.0,98429.0,79.0,8,8
18.0,82405.0,79.0,9,3
41.0,111059.0,76.0,7,3
33.0,93947.0,82.0,7,3
34.0,91479.0,74.0,11,1
48.0,83133.0,71.0,11,7
36.0,95602.0,85.0,9,5
31.0,85395.0,85.0,7,4
41.0,90976.0,74.0,10,2
46.0,110481.0,87.0,6,6
38.0,89232.0,75.0,10,5
42.0,99194.0,82.0,9,3
34.0,84375.0,87.0,9,9
34.0,89720.0,80.0,5,8
36.0,104166.0,84.0,11,3
27.0,84984.0,76.0,12,4
29.0,104500.0,78.0,6,2
49.0,95662.0,78.0,8,3
55.0,85500.0,74.0,8,6
51.0,95059.0,79.0,13,4
22.0,97780.0,68.0,11,8
21.0,94974.0,76.0,7,5
23.0,77438.0,78.0,9,7
36.0,84183.0,78.0,7,5
18.0,88020.0,78.0,11,4
29.0,89405.0,80.0,11,4
49.0,94965.0,84.0,9,9
45.0,91422.0,87.0,6,3
30.0,79317.0,75.0,9,6
31.0,93042.0,70.0,10,6
41.0,94885.0,72.0,10,6
44.0,94478.0,76.0,6,4
30.0,98646.0,77.0,6,6
33.0,96671.0,74.0,8,4
29.0,93673.0,70.0,4,3
22.0,89439.0,76.0,11,7
33.0,76712.0,81.0,9,5
32.0,93437.0,85.0,4,5
22.0,91662.0,76.0,11,6
41.0,92173.0,77.0,7,5
40.0,79786.0,73.0,8,8
42.0,81352.0,80.0,6,5
27.0,98425.0,73.0,12,2
18.0,89684.0,85.0,7,3
40.0,95452.0,66.0,13,7
28.0,90227.0,77.0,11,7
26.0,90238.0,82.0,10,5
22.0,97506.0,81.0,10,7
32.0,85872.0,102.0,10,7
51.0,90769.0,83.0,8,2
30.0,86302.0,72.0,10,2
24.0,86524.0,79.0,7,2
42.0,87527.0,66.0,5,6
37.0,91777.0,79.0,16,7
18.0,86170.0,73.0,10,6
42.0,100046.0,87.0,5,7
56.0,82843.0,76.0,10,4
18.0,88505.0,79.0,7,5
23.0,86482.0,75.0,13,4
18.0,101576.0,94.0,9,6
34.0,91572.0,77.0,8,2
45.0,98255.0,95.0,10,8
36.0,78116.0,87.0,8,4
49.0,92136.0,84.0,7,9
43.0,97117.0,83.0,8,7
52.0,90658.0,83.0,5,3
